goals,total_yel_card,total_red_card,total_scoring_att,ontarget_scoring_att,hit_woodwork,att_hd_goal,att_pen_goal,att_freekick_goal,att_ibox_goal,att_obox_goal,goal_fastbreak,total_offside,clean_sheet,goals_conceded,outfielder_block,interception,total_tackle,last_man_tackle,total_clearance,head_clearance,own_goals,penalty_conceded,pen_goals_conceded,total_pass,total_through_ball,total_long_balls,total_cross,corner_taken,touches,clearance_off_line,dispossessed,penalty_save,total_high_claim,punches,predicted categories
numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
41.0,60.0,1.0,413.0,134.0,7.0,13.0,1.0,4.0,36.0,5.0,0.0,97.0,10.0,58.0,141.0,540.0,676.0,4.0,1146.0,437.0,3.0,7.0,4.0,13403.0,47.0,1994.0,837.0,172.0,20675.0,5.0,387.0,2.0,46.0,19.0,3
39.0,46.0,1.0,463.0,144.0,7.0,4.0,4.0,2.0,30.0,9.0,0.0,92.0,12.0,46.0,147.0,752.0,745.0,10.0,1459.0,785.0,5.0,2.0,2.0,16505.0,112.0,2104.0,727.0,177.0,26134.0,5.0,467.0,0.0,99.0,29.0,12
65.0,74.0,4.0,671.0,224.0,20.0,12.0,4.0,0.0,60.0,5.0,2.0,70.0,10.0,46.0,111.0,637.0,698.0,5.0,881.0,477.0,1.0,6.0,4.0,18766.0,158.0,2021.0,972.0,253.0,26276.0,10.0,571.0,0.0,70.0,17.0,16
71.0,57.0,3.0,692.0,229.0,19.0,6.0,5.0,2.0,54.0,17.0,5.0,106.0,18.0,27.0,95.0,380.0,733.0,4.0,1141.0,741.0,2.0,1.0,1.0,18266.0,53.0,2052.0,809.0,248.0,26541.0,2.0,392.0,0.0,42.0,16.0,19
28.0,64.0,2.0,430.0,125.0,13.0,8.0,1.0,1.0,24.0,4.0,0.0,64.0,10.0,53.0,180.0,568.0,615.0,3.0,1458.0,999.0,2.0,5.0,3.0,13632.0,17.0,3021.0,783.0,171.0,21624.0,8.0,345.0,2.0,53.0,15.0,3
42.0,60.0,1.0,441.0,136.0,14.0,6.0,5.0,3.0,35.0,7.0,3.0,82.0,9.0,52.0,134.0,679.0,638.0,2.0,1058.0,559.0,5.0,2.0,2.0,18169.0,46.0,2416.0,725.0,163.0,25989.0,2.0,465.0,0.0,85.0,34.0,12
71.0,61.0,0.0,615.0,210.0,15.0,13.0,5.0,0.0,57.0,14.0,5.0,63.0,16.0,41.0,66.0,630.0,729.0,3.0,940.0,513.0,1.0,1.0,1.0,20488.0,84.0,2082.0,866.0,257.0,28396.0,2.0,556.0,0.0,38.0,41.0,16
34.0,59.0,4.0,489.0,141.0,11.0,6.0,4.0,1.0,28.0,6.0,3.0,137.0,12.0,51.0,129.0,531.0,883.0,3.0,1837.0,917.0,1.0,4.0,2.0,11684.0,27.0,2163.0,767.0,186.0,19855.0,7.0,510.0,1.0,68.0,14.0,10
30.0,59.0,3.0,500.0,146.0,9.0,4.0,1.0,0.0,18.0,12.0,3.0,108.0,7.0,60.0,174.0,660.0,818.0,4.0,1363.0,703.0,5.0,3.0,3.0,13632.0,50.0,1800.0,683.0,170.0,21941.0,8.0,453.0,0.0,56.0,37.0,1
74.0,64.0,4.0,637.0,236.0,15.0,9.0,2.0,2.0,64.0,10.0,9.0,88.0,13.0,49.0,93.0,605.0,751.0,25.0,766.0,411.0,5.0,4.0,3.0,20599.0,294.0,1665.0,896.0,262.0,28338.0,3.0,587.0,1.0,52.0,27.0,16
